Mot;Pole_Semantique;Domaine_Ecriture;Registre_Tonalite;Profil_Emotionnel;Epoque;Difficulte;Pertinence;Origine_Geographique
cénesthésie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.00;FRANCAIS
dilection;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.212;0.00;FRANCAIS
dolent;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.167;0.00;FRANCAIS
désabusé;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
effervescence;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.080;0.00;FRANCAIS
exaltation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
extase;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.010;0.00;FRANCAIS
ferveur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.020;0.00;FRANCAIS
félicité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.030;0.00;FRANCAIS
heur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.259;0.00;FRANCAIS
hypocondrie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.442;0.00;FRANCAIS
idylle;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_CALME;CLASSIQUE_17_18;0.010;0.00;FRANCAIS
indolence;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.040;0.00;FRANCAIS
inextinguible;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;CLASSIQUE_17_18;0.235;0.00;FRANCAIS
inimitié;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.119;0.00;FRANCAIS
insatiable;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
insouciance;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.060;0.00;FRANCAIS
jubilation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
langoureux;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.050;0.00;FRANCAIS
langueur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.030;0.00;FRANCAIS
lascif;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.170;0.00;FRANCAIS
léthargie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.040;0.00;FRANCAIS
miséricorde;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.060;0.00;FRANCAIS
morose;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.010;0.00;FRANCAIS
mélancolie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.050;0.00;FRANCAIS
neurasthénie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;MODERNE_20;0.149;0.00;FRANCAIS
neurasthénique;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;MODERNE_20;0.222;0.00;FRANCAIS
nostalgie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.040;0.00;FRANCAIS
nostalgique;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.060;0.00;FRANCAIS
paresthésie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.822;0.00;FRANCAIS
perplexité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
placidité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
pétulant;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.442;0.00;FRANCAIS
quiétude;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.030;0.00;FRANCAIS
résilience;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;MODERNE_20;0.382;0.00;FRANCAIS
solitaire;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.040;0.00;FRANCAIS
somatisation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;MODERNE_20;0.667;0.00;FRANCAIS
spleen;SENTIMENTS_ET_PSYCHE;POESIE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.039;0.00;ANGLAIS
spleenétique;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;1.000;0.00;FRANCAIS
stupeur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.020;0.00;FRANCAIS
séquestration;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.281;0.00;FRANCAIS
sérénité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_CALME;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
torpeur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;CLASSIQUE_17_18;0.020;0.00;FRANCAIS
venimeux;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
volupté;SENTIMENTS_ET_PSYCHE;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.020;0.00;FRANCAIS
équanimité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;MODERNE_20;0.402;0.00;FRANCAIS
ancestral;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.051;0.00;FRANCAIS
antédiluvien;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;MODERNE_20;0.258;0.00;FRANCAIS
apogée;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;CLASSIQUE_17_18;0.010;0.00;FRANCAIS
caduc;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.143;0.00;FRANCAIS
caducité;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.723;0.00;FRANCAIS
célérité;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.059;0.00;FRANCAIS
déliquescence;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.550;0.00;FRANCAIS
désuet;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.010;0.00;FRANCAIS
fugace;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.010;0.00;FRANCAIS
hécatombe;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.100;0.00;FRANCAIS
imminent;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
immuable;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
immémorial;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.061;0.00;FRANCAIS
inexorable;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
intemporel;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.214;0.00;FRANCAIS
jadis;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.000;0.00;FRANCAIS
millénaire;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.00;FRANCAIS
obsolescence;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.584;0.00;FRANCAIS
obsolète;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.080;0.00;FRANCAIS
précurseur;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.050;0.00;FRANCAIS
prémices;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.00;FRANCAIS
périssable;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
réminiscence;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.078;0.00;FRANCAIS
sénescence;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.599;0.00;FRANCAIS
transitoire;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.201;0.00;FRANCAIS
trépas;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.046;0.00;FRANCAIS
vicissitude;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;MODERNE_20;0.461;0.00;FRANCAIS
éphémère;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
évanescent;SENTIMENTS_ET_PSYCHE;POESIE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.244;0.00;FRANCAIS
