Mot;Pole_Semantique;Domaine_Ecriture;Registre_Tonalite;Profil_Emotionnel;Epoque;Difficulte;Difficulte_Abstraction;Pertinence
lascif;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.010;0.750;0.50
léthargie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.040;0.750;0.50
miséricorde;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.750;0.50
morose;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.010;0.750;0.50
mélancolie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.050;0.748;0.50
neurasthénie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;MODERNE_20;0.070;0.750;0.50
neurasthénique;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.080;0.800;0.50
nostalgie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.750;0.50
nostalgique;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.800;0.50
noévie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;1.000;0.750;0.50
parapathique;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.800;0.50
paresthésie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.652;0.750;0.50
perplexité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.900;0.50
placidité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.040;0.900;0.50
pétulant;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.030;0.750;0.50
quiétude;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.030;0.900;0.50
résilience;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.392;0.900;0.50
solitaire;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.538;0.50
somatisation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.646;0.900;0.50
spleen;SENTIMENTS_ET_PSYCHE;POESIE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.010;0.750;0.50
spleenétique;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.800;0.50
stupeur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.020;0.725;0.50
séquestration;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.219;0.900;0.50
sérénité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.030;0.785;0.50
torpeur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.020;0.820;0.50
varicose;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.750;0.50
venimeux;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.750;0.50
volupté;SENTIMENTS_ET_PSYCHE;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.020;0.782;0.50
équanimité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.362;0.900;0.50
ancestral;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.850;0.50
antédiluvien;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.850;0.50
apogée;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.808;0.50
caduc;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.000;0.850;0.50
caducité;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.673;1.000;0.50
célérité;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.750;0.50
déliquescence;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.299;1.000;0.50
désuet;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.500;0.50
fugace;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.010;0.750;0.50
hécatombe;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.850;0.50
imminent;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.850;0.50
immuable;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.850;0.50
immémorial;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.850;0.50
inexorable;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.050;0.850;0.50
intemporel;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.900;0.50
jadis;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.850;0.50
millénaire;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.900;0.50
obsolescence;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.526;1.000;0.50
obsolète;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.850;0.50
précurseur;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.850;0.50
prémices;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.200;0.50
périssable;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.050;0.850;0.50
réminiscence;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.900;0.50
sénescence;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.200;0.50
transitoire;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.850;0.50
trépas;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.010;0.850;0.50
vicissitude;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.230;1.000;0.50
éphémère;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.030;0.750;0.50
évanescent;SENTIMENTS_ET_PSYCHE;POESIE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.050;0.750;0.50
